,Galaxy,scale,Sigma,Vdisp,alphavir
51054,NGC4038/9,80.0,172.00770568847656,11.744459374133356,4.66102122008924
120995,NGC2903,90.0,10.69,2.523,3.054
177622,NGC6300,90.0,11.8,3.37,4.936
127414,NGC2997,90.0,432.7,7.457,0.659
154898,NGC3627,90.0,122.4,8.115,2.76
49250,NGC4038/9,80.0,879.3877563476562,28.274186649461587,5.283999460070526
104593,NGC0628,90.0,6.655,2.699,5.615
59055,NGC4038/9,80.0,178.54891967773438,9.81632154474243,3.1369186106261124
41712,NGC3256,80.0,33.53817424768338,11.363005857615128,22.213800003886323
65507,NGC4038/9,80.0,311.149169921875,18.307225957019867,6.260937785585565
167533,NGC5248,90.0,33.38,5.791,5.153
139569,NGC3521,90.0,94.04,8.696,4.125
168586,NGC5530,90.0,8.477,2.367,3.389
149691,NGC3627,90.0,50.68,6.31,4.029
62709,NGC4038/9,80.0,124.9569091796875,8.949901547621446,3.7259684006896125
129374,NGC2997,90.0,17.68,4.664,6.311
145749,NGC3621,90.0,47.7,6.726,4.865
32439,NGC3256,80.0,149.70540588347845,25.65898429060953,25.375654454999232
160191,NGC4689,90.0,29.14,3.801,2.543
131410,NGC2997,90.0,8.856,4.023,9.373
172182,NGC5643,90.0,16.01,4.045,5.244
31981,NGC3256,80.0,85.14391397574775,47.05798557483018,150.06826700898472
162212,NGC4781,90.0,181.8,11.75,3.894
38298,NGC3256,80.0,255.68236877838984,35.6314919262926,28.65121516386072
163826,NGC4781,90.0,25.15,3.348,2.286
47664,NGC4038/9,80.0,548.681396484375,29.104656429382054,8.973619736884746
48127,NGC4038/9,80.0,1721.113525390625,24.24445347726648,1.9850809145509345
58323,NGC4038/9,80.0,383.4643859863281,19.352325589813276,5.676808742528567
167838,NGC5530,90.0,78.26,7.278,3.471
52371,NGC4038/9,80.0,724.3347778320312,17.42977388801663,2.437850725691762
51872,NGC4038/9,80.0,583.4917602539062,21.86297406811691,4.761532043061254
155636,NGC4293,90.0,9.917,3.357,5.827
57180,NGC4038/9,80.0,403.9125061035156,8.96056502099196,1.155437408855855
114133,NGC2090,90.0,8.111,2.547,4.102
131948,NGC2997,90.0,172.8,9.911,2.915
182439,NGC7456,90.0,29.9,12.23,25.65
32115,NGC3256,80.0,101.20306175647377,9.983815334101777,5.68296839035141
42560,NGC3256,80.0,815.6122816365742,110.4193707091071,86.2546647988383
129138,NGC2997,90.0,25.98,4.689,4.342
68047,NGC4038/9,80.0,42.63150405883789,4.124023410901938,2.318860041880303
